,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" ups-accordion_content "")]/div[5]_RELOC",class nameups-accordion_item_SEL,"xpath//*[@id=""ups-langSelect""]/div/div[2]/div/div[5]_SEL","//*[@lang=""it""]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[37]_SEL","//*[@aria-labelledby=""ups-imagemap6""]/li[1]_RELOC","xpath//*[@id=""ups-imagemap6_links""]/li_SEL","//*[@aria-labelledby=""ups-imagemap5""]/li[9]_RELOC","xpath//*[@id=""ups-imagemap5_links""]/li[9]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[12]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[12]_SEL","//*[@aria-labelledby=""ups-imagemap6""]/li[3]_RELOC","xpath//*[@id=""ups-imagemap6_links""]/li[3]_SEL","//*[@id=""iw_comp1629400065309""]_RELOC",class nameiw_component_SEL,idiw_comp1629400065309_SEL,"xpath//*[@id=""iw_comp1629400065309""]_SEL","//*[@aria-labelledby=""ups-imagemap5""]/li[3]_RELOC","xpath//*[@id=""ups-imagemap5_links""]/li[3]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[7]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[7]_SEL","//*[@aria-labelledby=""ups-imagemap1""]/li[30]_RELOC","xpath//*[@id=""ups-imagemap1_links""]/li[30]_SEL","//*[@lang=""FR""]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[46]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[14]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[14]_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[16]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[16]_SEL","//*[@id=""colksjaq8t4""]_RELOC",class nameiw_columns_SEL,idcolksjaq8t4_SEL,"xpath//*[@id=""colksjaq8t4""]_SEL","//*[@aria-labelledby=""ups-imagemap3""]/li[30]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[30]_SEL","//*[@id=""ups-footer""]_RELOC",idups-footer_SEL,class nameups-footer_light_SEL,"xpath//*[@id=""ups-footer""]_SEL","//*[@aria-controls=""ups-imagemap3_links""]/i[1]/span[1]_RELOC",class nameicon_SEL,"xpath//*[@id=""ups-imagemap3""]/i/span_SEL","//*[@aria-labelledby=""ups-imagemap0""]/li[2]_RELOC","xpath//*[@id=""ups-imagemap0_links""]/li[2]_SEL","//*[@aria-labelledby=""ups-imagemap4""]/li[1]_RELOC","xpath//*[@id=""ups-imagemap4_links""]/li_SEL","//*[@aria-labelledby=""ups-imagemap3""]/li[68]_RELOC","xpath//*[@id=""ups-imagemap3_links""]/li[68]_SEL"
49,20220421213603,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
50,20220422165113,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
51,20220423234732,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
52,20220424130426,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
53,20220425135747,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
54,20220426221617,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
55,20220427233308,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
56,20220428221901,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
57,20220429132127,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
58,20220430180602,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
59,20220501040637,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
60,20220502023700,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
61,20220503165826,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
62,20220504114953,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
63,20220505192042,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
64,20220506121319,1,7,1,1,1,1,9,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,1,1
65,20220507143128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,1,1,1,0,9,0,0,0,0,0,0,0
