,Timestamp,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" top-banner "")]_RELOC",class nametop-banner_SEL,xpath//[document]/body/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][3]_RELOC",class namedropdown_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[4]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" merchants "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/p[1]_RELOC",xpath//[document]/body/div[5]/div/div[2]/div/div/div[2]/p_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" logo "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" logo-capt "")][1]_RELOC",class namelogo-capt_SEL,xpath//[document]/body/div[3]/div/div/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][2]_RELOC",class namecol-md-6_SEL,xpath//[document]/body/div[6]/div/div/div/div/div[2]_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[18]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[18]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content-txt "")][1]_RELOC",class namestat-content-txt_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]/div_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" sr-only "")]_RELOC",class namesr-only_SEL,xpath//[document]/body/div[4]/div/div/div/span/span_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" container "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" col-md-6 "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]_RELOC",class namerow_SEL,xpath//[document]/body/div[6]/div/div/div/div_SEL,"//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" indent-menu "")][6]_RELOC",class nameindent-menu_SEL,"xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[11]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" navigation "")]_RELOC",class namenavigation_SEL,xpath//[document]/body/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" navbar-nav "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" dropdown "")][2]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[3]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[14]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[14]_SEL","//*[@aria-labelledby=""dropdownMenu4""]/ul[1]/li[8]_RELOC","xpath//*[@id=""bs-navbar""]/ul/li[5]/div/ul/li[8]_SEL","//*[@id=""wm-media-curtain""]_RELOC",idwm-media-curtain_SEL,"xpath//*[@id=""wm-media-curtain""]_SEL","//*[contains(concat("" "", normalize-space(@class), "" ""), "" sidebar "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" row "")][1]/*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")][4]_RELOC",class namestat_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" collapsed "")]/span[4]_RELOC",class nameicon-bar_SEL,xpath//[document]/body/div[4]/div/div/div/span/span[4]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" warehouse "")]/*[contains(concat("" "", normalize-space(@class), "" ""), "" stat-content "")][1]_RELOC",class namestat-content_SEL,xpath//[document]/body/div[5]/div/div[2]/div/div[4]/div[2]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" footer-link "")]_RELOC",class namefooter-link_SEL,xpath//[document]/body/div[6]_SEL,"//*[contains(concat("" "", normalize-space(@class), "" ""), "" container-fluid "")]_RELOC",class namecontainer-fluid_SEL,xpath//[document]/body/div[7]/div_SEL
46,20210709222644,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
47,20210710112408,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
48,20210726170154,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
49,20210727222950,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
50,20210728092535,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
51,20210729003602,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
52,20210730011656,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
53,20210731234507,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
54,20210801233452,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
55,20210802205207,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
56,20210803052041,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
57,20210807202953,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
58,20210808175746,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
59,20210814083958,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
60,20210815111835,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
61,20210816115218,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
62,20210823053915,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
63,20210825034358,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
64,20210826061006,True,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False
