string,html,head,title,script,link,meta,base,body,div,p,form,fieldset,button,ia-topnav,noscript,style,primary-nav,nav,a,svg,desc,g,mask,path,use,nav-search,input,span,login-button,media-menu,media-button,ellipse,icon-hamburger,media-slider,media-subnav,desktop-subnav,ul,li,search-menu,label,signed-out-dropdown,h2,br,footer,number_of_tags,em,h3,i,img,h1,iframe,dl,dt,dd,strong,table,thead,tr,th,tbody,textarea,pre,wb_div,ins,hr,section,article,scrip,header,h4
6913,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1747,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10945,30,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6914,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1746,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10947,30,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6918,1,1,1,76,6,12,1,1,684,86,0,0,1,0,0,2,0,0,1746,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10955,30,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6922,1,1,1,73,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1748,0,0,0,0,0,0,0,3,190,0,0,0,0,0,0,0,0,106,645,0,2,0,37,0,0,10960,30,108,75,128,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6913,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1747,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10947,32,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6911,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1746,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10942,30,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6916,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1747,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10954,34,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6921,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1751,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10961,34,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6918,1,1,1,76,6,12,1,1,684,86,0,0,1,0,0,2,0,0,1746,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10957,32,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6914,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1746,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10945,28,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6909,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1745,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10941,32,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6905,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1743,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10932,29,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6907,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1744,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10933,27,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6923,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1751,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10962,31,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6915,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1748,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10949,31,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6924,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1751,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10963,31,108,75,126,1,3,22,22,22,17,1,1,1,4,1,4,0,0,0,0,0,0,0,0,0
6914,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1747,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10948,31,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6911,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1747,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10949,37,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6905,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1744,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10932,29,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6905,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1744,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10935,32,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6908,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1744,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10942,34,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6907,1,1,1,73,4,12,1,1,683,86,0,0,1,0,0,2,0,0,1745,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10938,32,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6910,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1745,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10945,34,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6912,1,1,1,74,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1746,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10944,30,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6911,1,1,1,73,4,12,1,1,684,86,0,0,1,0,0,2,0,0,1746,0,0,0,0,0,0,0,3,189,0,0,0,0,0,0,0,0,106,644,0,2,0,37,0,0,10942,30,108,75,126,1,3,22,22,22,17,1,1,1,4,1,3,0,0,0,0,0,0,0,0,0
6931,1,1,1,73,4,12,1,1,686,86,0,0,1,0,0,2,0,0,1751,0,0,0,0,0,0,0,3,191,0,0,0,0,0,0,0,0,107,649,0,2,0,38,0,0,10982,32,109,75,128,1,3,22,22,22,17,1,1,1,4,1,2,0,0,0,0,0,0,0,0,0
6842,1,1,1,74,4,12,1,1,684,83,0,0,1,0,0,2,0,0,1712,0,0,0,0,0,0,0,3,190,0,0,0,0,0,0,0,0,107,644,0,2,0,38,0,0,10847,35,109,75,128,1,3,22,22,22,17,1,1,1,4,1,2,0,0,0,0,0,0,0,0,0
6849,1,1,1,77,6,12,1,1,685,83,0,0,1,0,0,2,0,0,1712,0,0,0,0,0,0,0,3,190,0,0,0,0,0,0,0,0,107,644,0,2,0,38,0,0,10856,31,109,75,128,1,3,22,22,22,17,1,1,1,4,1,2,0,0,0,0,0,0,0,0,0
